Task Ref,Task Name,Task Client,Task Property,Task Category,Task Service Group,Task Assigned To,Quoted Cost,Quoted Sell,Quoted Profit,Quoted Margin,Estimated Cost,Estimated Sell,Estimated Hours,Committed Cost,Committed Hours,Revised Cost,Revised Sell,Revised Profit,Revised Margin,Revised Hours,Uninvoiced,Left to be incurred,Billable,Net Billable,Actual Cost,Invoiced,Invoiced Credit,Net Invoiced,Actual Profit,Actual Margin,Actual Hours,Cash Position,Cumulative Actual Cost,Cumulative Net Invoiced,Activity Actual Cost,Activity Net Invoiced
T-11585,APFS Report 2025 - Detection (Quote QD-0692),Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 4 - 1 Moorebank Avenue, Moorebank NSW 2071",Repair,R DETECTION,Nu Unasa,1720.00,2080.00,360.00,17.31%,0.00,0.00,0.00,163.50,1.25,423.50,2080.00,1656.50,79.64%,1.25,0.00,163.50,0.00,0.00,260.00,2080.00,0.00,2080.00,1820.00,87.50%,2.00,1820.00,260.00,2080.00,0.00,0.00
T-11586,VESDA Fault 14/5,Retail Ready Operations Australia,"COLES RRM - 54 Templar Road, Erskine Park, NSW 2759",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,884.00,6.80,944.00,1324.00,380.00,28.70%,6.80,0.00,884.00,0.00,0.00,60.00,1324.00,0.00,1324.00,1264.00,95.47%,0.00,1324.00,60.00,1324.00,0.00,0.00
T-11589,Chiller Detector in Alarm ,The Kitchenary Pty Ltd,"The Kitchenary - 27 Holbeche Road, Arndell Park, NSW 2148",Callout,R DETECTION,Jimmy Kak,0.00,0.00,0.00,,0.00,0.00,0.00,650.00,2.50,703.46,840.00,136.54,16.25%,2.50,0.00,650.00,0.00,0.00,53.46,840.00,0.00,840.00,786.54,93.64%,0.00,840.00,53.46,840.00,0.00,0.00
T-11592,Monthly Defect May 2025 - Fire Panel Batteries (Quote QD-0812),Rondo Building Services Pty Ltd,"Rondo - Computer Room - Level 1- 57-87 Lockwood Road, Erskine Park, NSW 2759",Repair,R DETECTION,Gordon Jenkins,317.50,403.00,85.50,21.22%,0.00,0.00,0.00,255.88,0.75,255.88,403.00,147.12,36.51%,0.75,0.00,255.88,0.00,0.00,0.00,403.00,0.00,403.00,403.00,100.00%,0.00,403.00,0.00,403.00,0.00,0.00
T-11593,"Following on from annual testing, the following defect(s) were been found:
-Suit 40… (Quote QD-0759)",Stanton Hillier Parker,"Blacktown City Council - 81-85 Flushcombe Road, Blacktown, NSW 2148",Repair,R DETECTION,Gordon Jenkins,3674.40,4587.00,912.60,19.90%,0.00,0.00,0.00,780.00,0.00,2419.40,4587.00,2167.60,47.26%,0.00,0.00,780.00,0.00,0.00,1639.40,4587.00,0.00,4587.00,2947.60,64.26%,11.50,3092.00,1639.40,4587.00,0.00,0.00
T-11596,Evacuation Alarm not working,Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 3A/3B/3C - 1 Moorebank Avenue, Moorebank NSW 2170",Callout,R DETECTION,Maurea Tumai-Crawford,0.00,0.00,0.00,,0.00,0.00,0.00,2875.87,11.12,4306.87,3475.00,-831.87,-23.94%,11.12,0.00,2875.87,0.00,0.00,1431.00,3475.00,0.00,3475.00,2044.00,58.82%,0.00,3475.00,1431.00,3475.00,0.00,0.00
T-11597,Building 650 - Faults.,Australian Catholic Universities (ACU),"ACU - Building 640 - 163-167 Albert Road Strathfield, NSW 2055",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,134.00,0.00,510.67,790.00,279.33,35.36%,0.00,0.00,134.00,0.00,0.00,376.67,790.00,0.00,790.00,413.33,52.32%,1.87,547.33,376.67,790.00,0.00,0.00
T-11598,Auto Door trip. (Quote QD-0763),Impact International,"Impact International - Cnr Victoria and O’Connell Street, Smithfield,  NSW 2164",Repair,R DETECTION,Gordon Jenkins,930.00,1192.01,262.01,21.98%,0.00,0.00,1.00,559.84,3.38,559.84,1192.01,632.16,53.03%,3.38,0.00,559.84,0.00,0.00,0.00,1192.00,0.00,1192.00,1192.00,100.00%,0.00,1192.00,0.00,1192.00,0.00,0.00
T-11599,APFS walkthrough & FFFT ,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU893 - Riverwood Business Park - 92-100 Belmore Road, Riverwood, NSW, 2210",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,620.99,750.00,129.01,17.20%,0.00,0.00,0.00,0.00,0.00,620.99,750.00,0.00,750.00,129.01,17.20%,1.70,529.01,620.99,750.00,0.00,0.00
T-11600,APFS walkthrough & FFFT,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1502.84,750.00,-752.84,-100.38%,0.00,0.00,0.00,0.00,0.00,1502.84,750.00,0.00,750.00,-752.84,-100.38%,8.48,-352.84,1502.84,750.00,0.00,0.00
T-11617,Replace BGA,Milperra Sub TC Pty Ltd ATF Milperra || Sub Trust C/- CBRE Pty Ltd,"Milperra - 233 Milperra Road, Bankstown Aerodrome, NSW 2200",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,195.00,1.50,269.82,570.00,300.18,52.66%,1.50,0.00,195.00,0.00,0.00,74.82,570.00,0.00,570.00,495.18,86.87%,0.00,570.00,74.82,570.00,0.00,0.00
T-11620,APFS walkthrough and FFFT 2025,Goodman Property Services (Aust) Pty Limited SC01822,Goodman AU079 Greystanes Park East - Laminex (bldg 1) 2 Foundation Place PEMULWUY,Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,338.00,2.60,1266.67,750.00,-516.67,-68.89%,2.60,750.00,338.00,750.00,750.00,928.67,0.00,0.00,0.00,-928.67,,4.07,-528.67,928.67,0.00,0.00,0.00
T-11621,APFS Report 2025 - Occupancy Warning System (Quote QD-0691),Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 4 - 1 Moorebank Avenue, Moorebank NSW 2071",Repair,R DETECTION,Gordon Jenkins,1300.00,1552.00,252.00,16.24%,0.00,0.00,0.00,204.06,0.00,1636.23,1552.00,-84.23,-5.43%,0.00,0.00,204.06,0.00,0.00,1432.17,1552.00,0.00,1552.00,119.83,7.72%,1.02,1419.83,1432.17,1552.00,0.00,0.00
T-11627,Materials for T-09196,EUREKA FUND 5 PTY LIMITED ATF EUREKA PROPERTY FUND C/- Knight Frank Australia Pty Ltd,"18 Smith Street, Parramatta, NSW 2150",Callout,R DETECTION,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1400.00,1647.00,247.00,15.00%,0.00,0.00,0.00,0.00,0.00,1400.00,1647.00,0.00,1647.00,247.00,15.00%,0.00,1647.00,1400.00,1647.00,0.00,0.00
T-11632,BLD 502 - Level 3 Cafe,Australian Catholic Universities (ACU),"ACU - Building 526 - 8-10 Berry Street, North Sydney, NSW 2055",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,177.66,1.37,237.66,560.00,322.34,57.56%,1.37,0.00,177.66,0.00,0.00,60.00,560.00,0.00,560.00,500.00,89.29%,0.00,560.00,60.00,560.00,0.00,0.00
T-11634,Monthly Defect Repairs (Quote QD-0631),PQI GROUP,"83-87 Market Street, Sydney, NSW 2000",Repair,R DETECTION,Nu Unasa,590.00,590.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,727.84,1300.00,572.16,44.01%,0.00,0.00,0.00,0.00,0.00,727.84,1300.00,0.00,1300.00,572.16,44.01%,0.98,1172.16,727.84,1300.00,0.00,0.00
T-11636,APFS Report 2025- FIP - Detection. (Quote QD-0767),The Trustee for Gemstone Lane Cove Asset,"11-13 Orion Road, Lane Cove West, NSW 2066",Repair,R DETECTION,John Minai,585.00,750.00,165.00,22.00%,0.00,0.00,0.00,3.00,0.00,2473.67,1650.01,-823.66,-49.92%,0.00,0.01,3.00,0.01,0.01,2470.67,1650.00,0.00,1650.00,-820.67,-49.74%,11.97,94.33,2470.67,1650.00,0.00,0.00
T-11644,APFS Report 2025 - Occupancy Warning System (Quote QD-0688),Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170",Repair,R DETECTION,Gordon Jenkins,200.00,260.00,60.00,23.08%,0.00,0.00,0.00,0.00,0.00,997.33,260.00,-737.33,-283.59%,0.00,0.00,0.00,0.00,0.00,997.33,260.00,0.00,260.00,-737.33,-283.59%,6.13,-537.33,997.33,260.00,0.00,0.00
T-11645,APFS Report 2025 - Occupancy Warning System (Quote QD-0690),Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 3A/3B/3C - 1 Moorebank Avenue, Moorebank NSW 2170",Repair,R DETECTION,Gordon Jenkins,230.00,260.00,30.00,11.54%,0.00,0.00,0.00,0.00,0.00,513.84,260.00,-253.84,-97.63%,0.00,0.00,0.00,0.00,0.00,513.84,260.00,0.00,260.00,-253.84,-97.63%,2.18,-23.84,513.84,260.00,0.00,0.00
T-11651,Montlhy Defect May 2025- Batteries (Quote QD-0846),Logos Property Management Pty Limited,"LOGOS - 246 Miller Road, Villawood, NSW 2165",Repair,R DETECTION,Gordon Jenkins,316.00,598.00,282.00,47.16%,0.00,0.00,0.00,105.08,0.00,267.58,598.00,330.42,55.25%,0.00,0.00,105.08,0.00,0.00,162.50,598.00,0.00,598.00,435.50,72.83%,1.25,435.50,162.50,598.00,0.00,0.00
T-11653,APFS Report 2025 - FIP Batteries (Quote QD-0453),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU545 - Interlink Industrial Estate - Kimberly Clark -  35 Sarah Andrews Close, Erskine Park, NSW 2759",Repair,R DETECTION,Gordon Jenkins,1756.56,2065.00,308.44,14.94%,0.00,0.00,0.00,592.55,0.92,2035.05,2065.00,29.95,1.45%,0.92,0.00,592.55,0.00,0.00,1442.50,2065.00,0.00,2065.00,622.50,30.15%,2.25,1772.50,1442.50,2065.00,0.00,0.00
T-11660,Monthly Defect May 2025- Batteries (Quote QD-0848),Altis Bulky Sub Trust 3,"NSW Fire & Rescue - 5 Distribution Drive, Orchard Hills, NSW 2748",Repair,R DETECTION,Gordon Jenkins,370.00,668.00,298.00,44.61%,0.00,0.00,0.00,288.38,1.00,288.38,668.00,379.62,56.83%,1.00,0.00,288.38,0.00,0.00,0.00,668.00,0.00,668.00,668.00,100.00%,0.00,668.00,0.00,668.00,0.00,0.00
T-11662,Monthly Defect May 2025 - Batteries and FIP Fault. (Quote QD-0850),TCAL ATF Altis Bulky Sub Trust 3 Erskine Park C/- Knight Frank Australia Pty Ltd,"N&A & ACR - 10-12 Distribution Drive, Orchard Hills, NSW 2060",Repair,R DETECTION,Gordon Jenkins,396.00,702.00,306.00,43.59%,0.00,0.00,0.00,317.15,1.02,317.15,702.00,384.85,54.82%,1.02,0.00,317.15,0.00,0.00,0.00,702.00,0.00,702.00,702.00,100.00%,0.00,702.00,0.00,702.00,0.00,0.00
T-11664,Monthly Defect May 2025 - Detector and Block Plan (Quote QD-0803),Kho & Lee,"Crocs Play Centre/World Gym - 24 Rowood Road, Prospect, NSW 2148",Repair,R DETECTION,Gordon Jenkins,1765.00,2030.00,265.00,13.05%,0.00,0.00,0.00,0.00,0.00,1855.00,2030.00,175.00,8.62%,0.00,0.00,0.00,0.00,0.00,1855.00,2030.00,0.00,2030.00,175.00,8.62%,1.50,1835.00,1855.00,2030.00,0.00,0.00
T-11665,Monthly Defect April 2025 - FIP Batteries (Quote QD-0754),Baker & Co Ingredients,"Baker & Co - 15 Healey Circuit, Huntingwood, NSW 2148",Repair,R DETECTION,Gordon Jenkins,286.00,358.00,72.00,20.11%,0.00,0.00,0.00,164.88,0.70,164.88,358.00,193.12,53.94%,0.70,0.00,164.88,0.00,0.00,0.00,358.00,0.00,358.00,358.00,100.00%,0.00,358.00,0.00,358.00,0.00,0.00
T-11667,Monthly Defect March 2025 - FIP Batteries (Quote QD-0449),Raad Property Acquisition No 65 Pty Ltd,"60-68 Hampstead Road, Auburn, NSW 2144",Repair,R DETECTION,John Minai,482.00,490.00,8.00,1.63%,0.00,0.00,0.00,22.00,0.00,256.00,490.00,234.00,47.76%,0.00,0.00,22.00,0.00,0.00,234.00,490.00,0.00,490.00,256.00,52.24%,1.80,256.00,234.00,490.00,0.00,0.00
T-11765,APFS Report 2025 - Detection (Quote QD-0477),REI Property Sub Pty Ltd ATF REI Property Sub Trust C/- Knight Frank Australia Pty Ltd,"91 Phillip Street, Parramatta, NSW 2150",Repair,R DETECTION,John Minai,701.48,793.54,92.06,11.60%,0.00,0.00,0.00,404.49,0.00,1586.82,793.54,-793.28,-99.97%,0.00,0.00,404.49,0.00,0.00,1182.33,793.54,0.00,793.54,-388.79,-48.99%,8.63,-328.79,1182.33,793.54,0.00,0.00
T-11766,Monthly Defect May 2025 - Batteries (Quote QD-0861),Lendlease Real Estate Investments Ltd C/- JLL,"Lend Lease Funds Management - 1A Bessemer Street, Blacktown, NSW 2148",Repair,R DETECTION,Gordon Jenkins,221.00,474.30,253.30,53.41%,0.00,0.00,0.00,91.17,0.62,91.17,474.30,383.13,80.78%,0.62,0.00,91.17,0.00,0.00,0.00,474.30,0.00,474.30,474.30,100.00%,0.00,474.30,0.00,474.30,0.00,0.00
T-11771,Replace VESDA VEP (Quote QD-0868),Lendlease Funds Management Ltd,"Zirco Data -  1 Johnson Road, Campbelltown, NSW 2560",Repair,R DETECTION,John Minai,7000.00,8711.00,1711.00,19.64%,0.00,0.00,0.00,5521.89,0.00,13052.72,8711.00,-4341.72,-49.84%,0.00,0.00,5521.89,0.00,0.00,7530.83,8711.00,0.00,8711.00,1180.17,13.55%,4.08,8180.17,7530.83,8711.00,0.00,0.00
T-11772,fault on fip,The Trust Company (Australia) Ltd ATF Ascendas Business Park Trust No.1 C/- Colliers,"Metrolink Corporate Park - 197-201 Coward Street  Mascot, NSW 2020",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,125.67,0.97,492.59,874.00,381.41,43.64%,0.97,0.00,125.67,0.00,0.00,366.92,874.00,0.00,874.00,507.08,58.02%,2.00,614.00,366.92,874.00,0.00,0.00
T-11773,Monthly Defect Repairs (Quote QD-0620),N G P Investments (no 2) Pty Ltd  C/o Mercer Property Pty Ltd,"1 Wentworth Street, Parramatta, NSW 2150",Repair,R DETECTION,John Minai,57.12,342.00,284.88,83.30%,0.00,0.00,2.00,804.00,0.00,1012.00,342.00,-670.00,-195.91%,2.00,0.00,804.00,0.00,0.00,208.00,342.00,0.00,342.00,134.00,39.18%,1.60,134.00,208.00,342.00,0.00,0.00
T-11776,Bld 613 - Fault 21/5,Australian Catholic University (ACU),"ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,236.00,1.30,453.33,690.00,236.67,34.30%,1.30,0.00,236.00,0.00,0.00,217.33,690.00,0.00,690.00,472.67,68.50%,1.13,542.67,217.33,690.00,0.00,0.00
T-11779,APFS Report 2025 FIP - Batteries (Quote QD-0762),LHD TC Pty Ltd ATF LHD Sub I Trust,"78 Templar Road, Erskine Park, NSW 2759",Repair,R DETECTION,Gordon Jenkins,396.00,501.80,105.80,21.08%,0.00,0.00,0.00,217.48,0.25,282.48,501.80,219.32,43.71%,0.25,0.00,217.48,0.00,0.00,65.00,501.80,0.00,501.80,436.80,87.05%,0.50,436.80,65.00,501.80,0.00,0.00
T-11786,Monthly Defect May 2025 - Batteries (Quote QD-0851),Goodman Property Services (Aust) Pty Limited SC01822,Goodman AU079 Greystanes Park East - Laminex (bldg 1) 2 Foundation Place PEMULWUY,Repair,R DETECTION,Gordon Jenkins,396.00,702.00,306.00,43.59%,0.00,0.00,0.00,184.98,0.00,282.48,702.00,419.52,59.76%,0.00,0.00,184.98,0.00,0.00,97.50,702.00,0.00,702.00,604.50,86.11%,0.75,604.50,97.50,702.00,0.00,0.00
T-11787,APFS Report 2025 - Detection (Quote QD-0499),Sika Australia Pty Ltd,"B Sika Australia - Block H - 18 Hargraves Place, Wetherill Park, NSW, 2164",Repair,R DETECTION,Gordon Jenkins,1200.00,1523.00,323.00,21.21%,0.00,0.00,0.00,140.83,1.08,1635.50,1523.00,-112.50,-7.39%,1.08,0.00,140.83,0.00,0.00,1494.67,1523.00,0.00,1523.00,28.33,1.86%,2.27,1228.33,1494.67,1523.00,0.00,0.00
T-11788,APFS Report 2025- Detection (Quote QD-0503),Sika Australia Pty Ltd,"Sika Australia - 55 Elizabeth Street, Wetherill Park, NSW 2164",Repair,R DETECTION,Gordon Jenkins,1700.00,2043.00,343.00,16.79%,0.00,0.00,0.00,936.00,7.20,3645.67,2043.00,-1602.67,-78.45%,7.20,0.00,936.00,0.00,0.00,2709.67,2043.00,0.00,2043.00,-666.67,-32.63%,7.77,1033.33,2709.67,2043.00,0.00,0.00
T-11792,Faulty detector,Australian Catholic Universities (ACU),"ACU - Building 532 - 8-20 Napier Street, North Sydney, NSW 2055",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,136.50,1.05,404.86,742.00,337.14,45.44%,1.05,0.00,136.50,0.00,0.00,268.36,742.00,0.00,742.00,473.64,63.83%,1.25,579.50,268.36,742.00,0.00,0.00
T-11793,2 false alarms. ,Baker & Co Ingredients,"Baker & Co - 15 Healey Circuit, Huntingwood, NSW 2148",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,131.00,1.00,411.00,790.00,379.00,47.97%,1.00,0.00,131.00,0.00,0.00,280.00,790.00,0.00,790.00,510.00,64.56%,1.00,660.00,280.00,790.00,0.00,0.00
T-11795,Panel faults,Sydney Trains,"(ROC) Rail Operations Centre - Mandible & Wyndham Street, Alexandria, NSW 2015",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,537.33,4.13,597.33,1360.00,762.67,56.08%,4.13,0.00,537.33,0.00,0.00,60.00,1360.00,0.00,1360.00,1300.00,95.59%,0.00,1360.00,60.00,1360.00,0.00,0.00
T-11828,ASE wiring fault Paul Enright asked for Flamesafe to attend,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU893 - Riverwood Business Park - 92-100 Belmore Road, Riverwood, NSW, 2210",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,526.50,4.05,726.50,1160.00,433.50,37.37%,4.05,0.00,526.50,0.00,0.00,200.00,1160.00,0.00,1160.00,960.00,82.76%,0.00,1160.00,200.00,1160.00,0.00,0.00
T-11833,Monthly Defect Repairs (Quote QD-0801),Goodman Property Services (Aust) Pty Limited SC01822,Goodman AU079 Greystanes Park East - Laminex (bldg 1) 2 Foundation Place PEMULWUY,Repair,R DETECTION,Allan Sparkl,1515.00,2200.50,685.50,31.15%,0.00,0.00,6.75,1410.00,0.00,2177.00,2200.50,23.50,1.07%,6.75,0.00,1410.00,0.00,0.00,767.00,2200.50,0.00,2200.50,1433.50,65.14%,5.90,1433.50,767.00,2200.50,0.00,0.00
T-11836,APFS Report 2025 - VESDA (Quote QD-0689),Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 2B/2C - 1 Moorebank Avenue, MoorebankNSW 2071",Repair,R DETECTION,Gordon Jenkins,2750.00,3290.00,540.00,16.41%,0.00,0.00,0.00,2405.15,2.02,5666.48,3290.00,-2376.48,-72.23%,2.02,0.00,2405.15,0.00,0.00,3261.33,3290.00,0.00,3290.00,28.67,0.87%,3.93,2778.67,3261.33,3290.00,0.00,0.00
T-11838,Replace Fire Panel Screen (Quote QD-0586),Knight Frank,Use next,Repair,R DETECTION,Gordon Jenkins,3434.00,4152.20,718.20,17.30%,0.00,0.00,0.00,2394.00,0.00,2513.17,4152.20,1639.03,39.47%,0.00,0.00,2394.00,0.00,0.00,119.17,4152.20,0.00,4152.20,4033.03,97.13%,0.92,4033.03,119.17,4152.20,0.00,0.00
T-11840,Monthly Defect May 2025 - PA Failed (Quote QD-0810),GENERAL AUSTRALIA,"Fujitsu General - 1 Telopea Place, Eastern Creek, NSW 2766",Repair,R DETECTION,Gordon Jenkins,338.28,643.26,304.98,47.41%,0.00,0.00,0.00,128.28,0.00,221.45,643.26,421.81,65.57%,0.00,0.00,128.28,0.00,0.00,93.17,643.26,0.00,643.26,550.09,85.52%,0.72,550.09,93.17,643.26,0.00,0.00
T-11847,faults on fire panel,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,129.33,560.00,430.67,76.91%,0.00,0.00,0.00,0.00,0.00,129.33,560.00,0.00,560.00,430.67,76.91%,0.53,490.67,129.33,560.00,0.00,0.00
T-11856,APFS Report - (Quote QD-0713),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU002 - Slough Business Park - Block B Units 11-20 - 2 Slough Avenue, Silverwater, NSW, 2128",Repair,R DETECTION,Gordon Jenkins,300.00,355.00,55.00,15.49%,0.00,0.00,0.00,0.00,0.00,391.00,355.00,-36.00,-10.14%,0.00,0.00,0.00,0.00,0.00,391.00,355.00,0.00,355.00,-36.00,-10.14%,0.70,264.00,391.00,355.00,0.00,0.00
T-11857,APFS Report 2025 - (Quote QD-0695),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU002 - Slough Business Park - Block B Units 11-20 - 2 Slough Avenue, Silverwater, NSW, 2128",Repair,R DETECTION,Gordon Jenkins,300.00,355.00,55.00,15.49%,0.00,0.00,0.00,130.18,0.00,560.18,355.00,-205.18,-57.80%,0.00,0.00,130.18,0.00,0.00,430.00,355.00,0.00,355.00,-75.00,-21.13%,1.00,225.00,430.00,355.00,0.00,0.00
T-11858,APFS Report 2025 - Occupancy Warning System (Quote QD-0673),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU002 - Slough Business Park - Block B Units 11-20 - 2 Slough Avenue, Silverwater, NSW, 2128",Repair,R DETECTION,Gordon Jenkins,450.00,520.00,70.00,13.46%,0.00,0.00,0.00,0.00,0.00,642.83,520.00,-122.83,-23.62%,0.00,0.00,0.00,0.00,0.00,642.83,520.00,0.00,520.00,-122.83,-23.62%,1.48,327.17,642.83,520.00,0.00,0.00
T-11859,APFS Report 2025 (Quote QD-0714),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU002 - Slough Business Park - Block B Units 11-20 - 2 Slough Avenue, Silverwater, NSW, 2128",Repair,R DETECTION,Gordon Jenkins,300.00,355.00,55.00,15.49%,0.00,0.00,0.00,130.18,0.00,659.85,355.00,-304.85,-85.87%,0.00,0.00,130.18,0.00,0.00,529.67,355.00,0.00,355.00,-174.67,-49.20%,1.77,125.33,529.67,355.00,0.00,0.00
T-11863,Defect raised from monthly testing. 2025,Proact FM,"PROACT FM - 162 Goulburn Street, Surry Hills - NSW 2010",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1868.83,2310.00,441.17,19.10%,0.00,0.00,0.00,0.00,0.00,1868.83,2310.00,0.00,2310.00,441.17,19.10%,6.68,1441.17,1868.83,2310.00,0.00,0.00
T-11871,SQ25-123,Kerfoot,"LOGOS - 246 Miller Road, Villawood, NSW 2165",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1033.51,1709.50,675.99,39.54%,0.00,0.00,0.00,0.00,0.00,1033.51,1709.50,0.00,1709.50,675.99,39.54%,7.95,675.99,1033.51,1709.50,0.00,0.00
T-11881,APFS Report 2025 - Detection (Quote QD-0693),Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 2B/2C - 1 Moorebank Avenue, MoorebankNSW 2071",Repair,R DETECTION,Gordon Jenkins,1700.00,2055.00,355.00,17.27%,0.00,0.00,0.00,0.00,0.00,1700.00,2055.00,355.00,17.27%,0.00,0.00,0.00,0.00,0.00,1700.00,2055.00,0.00,2055.00,355.00,17.27%,0.00,2055.00,1700.00,2055.00,0.00,0.00
T-11882,Faults on Panel,Charter Hall Portfolio,"Pacific Square - 717 Anzac Parade, Maroubra, NSW 2035",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,3792.10,0.00,10652.21,8709.73,-1942.48,-22.30%,0.00,0.00,3792.10,0.00,0.00,6860.11,8709.73,0.00,8709.73,1849.62,21.24%,23.60,-3068.01,6860.11,8709.73,0.00,0.00
T-11887,Annual Defect 2025 - Strobe (Quote QD-0883),Veolia Water Operations Pty Ltd,"Veolia (Pumping Station) - 2 Durham Street, Rosehill, NSW 2142",Repair,R DETECTION,John Minai,310.00,390.00,80.00,20.51%,0.00,0.00,0.00,91.74,0.00,319.24,390.00,70.76,18.14%,0.00,0.00,91.74,0.00,0.00,227.50,390.00,0.00,390.00,162.50,41.67%,1.75,162.50,227.50,390.00,0.00,0.00
T-12362,Monthly Defect May 2025 - Batteries and Ansul (Quote QD-0849),Costco Wholesale Australia New Zealand,"Costco Casula - 20 Parkers Farm Place, Casula, 2170 NSW",Repair,R DETECTION,Gordon Jenkins,370.00,668.00,298.00,44.61%,0.00,0.00,0.00,158.38,0.00,210.38,668.00,457.62,68.51%,0.00,0.00,158.38,0.00,0.00,52.00,668.00,0.00,668.00,616.00,92.22%,0.40,616.00,52.00,668.00,0.00,0.00
T-12363,Fire Trip to Cage Gate (Quote QD-0896),TCAL ATF Altis Bulky Sub Trust 3 Erskine Park C/- Knight Frank Australia Pty Ltd,"CEVA - 9-11 Distribution Drive, Orchard Hills, NSW 2748",Repair,R DETECTION,Gordon Jenkins,3985.00,5017.75,1032.75,20.58%,0.00,0.00,0.02,1398.00,0.00,2546.33,5017.75,2471.42,49.25%,0.02,0.00,1398.00,0.00,0.00,1148.33,5017.75,0.00,5017.75,3869.42,77.11%,8.83,3869.42,1148.33,5017.75,0.00,0.00
T-12366,APFS walkthrough and FFFT ,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU646 - 146 O'Riordan Street, Mascot, NSW 2020",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,686.00,750.00,64.00,8.53%,0.00,0.00,0.00,0.00,0.00,686.00,750.00,0.00,750.00,64.00,8.53%,2.20,464.00,686.00,750.00,0.00,0.00
T-12372,FFFT & APFS walkthrough,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU641 - Gardeners Distribution Centre - 546 Gardeners Road, Mascot, NSW 2020",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,657.83,750.00,92.17,12.29%,0.00,750.00,0.00,750.00,750.00,657.83,0.00,0.00,0.00,-657.83,,1.98,-257.83,657.83,0.00,0.00,0.00
T-12402,Ansul System - Chip Kitchen (Quote QD-0897),Costco Wholesale Australia New Zealand,"Costco Casula - 20 Parkers Farm Place, Casula, 2170 NSW",Repair,R DETECTION,Gordon Jenkins,1480.00,1846.00,366.00,19.83%,0.00,0.00,1.00,122.00,0.00,548.83,1846.00,1297.17,70.27%,1.00,0.00,122.00,0.00,0.00,426.83,1846.00,0.00,1846.00,1419.17,76.88%,3.28,1419.17,426.83,1846.00,0.00,0.00
