Task Ref,Task Property,Task Category,Task Service Group,Task Round,Task Supporting Technicians,Task Description,Task Source Defect Quote Ref,Task Source Service Quote Ref,Task Authorisation Ref,Task Status,Task Author,Task Salesperson,Task Created Date,Task Performed Date,Task Invoiced Date,Task Days to Complete,Task Days to Invoice
T-39471,"1 Dupas St, Smithfield NSW 2164",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,W15622686- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39472,"338-350 Woodpark Rd, Smithfield",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,W15622705- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39475,"39A268 - 2-14 Elsie Street, BURWOOD, 2134",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.13
T-37379,"Zirco Data -  1 Johnson Road, Campbelltown, NSW 2560",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.11,
T-39476,"7 Box Road, Taren Point, NSW 2229",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188229_201010 - 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-39478,"13 Rowood Road, Prospect, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188232_201010 - 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-39479,"66 Christina Road, Villawood, NSW 2163",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188234_201010- 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-39007,"ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-11-01 to 2026-11-30,,,WOT0030378,COMPLETE,,,8 April     2026,8 April     2026,9 April     2026,0.00,0.91
T-37516,"Goodman AU641 - Gardeners Distribution Centre - 546 Gardeners Road, Mascot, NSW 2020",I&T,M DETECTION,,,"Apr 2026 routine servicing (3 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.18,
T-39480,"Jaycar Electronics Group - 46 Eastern Creek Drive, Eastern CreekNSW 2766",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-39482,"1333 The Horsley Drive, Wetherill Park, NSW 2164",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188231_201010- 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-39483,"Liftronic - 22 Burrows Road, St Peters, NSW 2044",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188233_201010 - 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-39485,"City of Parramatta Council - 9 Wentworth Street, Parramatta, NSW 2150",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,CWO0574268 -2026-2027 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.20
T-39488,"DHL - Momentum Industrial Estate (Building N) - Lot 11/12 Momentum Drive 813-819 Wallgrove Road EASTERN CREEK, 2766, NSW",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.10
T-39489,"AEU NSW Teachers Federation Branch - 23-33 Mary Street, Surry Hills, 2010",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.10
T-37471,"PFM Corp (BLDG 2) - 147-151 Newton Road, Wetherill Park, NSW 2164",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (6 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (4)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,0.98,
T-33001,"Pacific Square - 717 Anzac Parade, Maroubra, NSW 2035",I&T,M SPRINKLER,,Nick Hollingsworth,"Mar 2026 routine servicing (18 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (12), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (5), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,27 February  2026,30 March     2026,,30.92,
T-33191,"LOGOS - Unit 5B, 246 Miller Road, Villawood, NSW 2163",I&T,M SPRINKLER,,Rory Mortel,Mar 2026 routine servicing (2 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2),,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.72,
T-29741,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",I&T,A DETECTION,,Haider Al-Heyoury,"Jan 2026 routine servicing (7 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Annual (5)",,,"",COMPLETE,Office Account,,29 January   2026,2 February  2026,,4.29,
T-35114,"ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055",Callout,R DETECTION,,Gordon Jenkins,613 – replace break glass device ,,,Work Order Task : WOT0030028,COMPLETE,Jamie Wright,,16 March     2026,7 April     2026,10 April     2026,22.06,3.05
T-29742,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",I&T,A FPT PASSIVE,,,"Jan 2026 routine servicing (3 items): Service Penetrations, Control Joints (AS 1851:2012 Section 12): Annual (0), Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (0), Fire Rated Horizontal Sliding Doors (AS 1851:2012 Section 12): Six-monthly (3)",,,"",COMPLETE,Office Account,,29 January   2026,2 February  2026,,4.16,
T-29740,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",I&T,A EELS,,Haider Al-Heyoury,Jan 2026 routine servicing (0 items): Emergency Escape Lighting & Exit Signs (AS 2293-1995: Section 2): Annual (0),,,"",COMPLETE,Office Account,,29 January   2026,3 February  2026,,5.34,
T-35668,"DLP - Warehouse 7, 44 Clunies Ross Street, Pemulwuy",I&T,A FPT PASSIVE,,,Mar 2026 routine servicing (0 items): Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Annual (Custom) (0),,,"",COMPLETE,Jade Ogony,,18 March     2026,26 March     2026,,7.79,
T-14070,"GoodmanAU079 Greystanes Park East - (BLDG 4) 3M, 5 Reconciliation Rise PEMULWUY, 2145, NSW",Billing,,,,Inspection & Testing - Fixed/Monthly 2020-07-01 to 2020-07-31,,,588206,COMPLETE,,,23 July      2025,23 July      2025,23 July      2025,0.00,0.00
T-33019,"Goodman AU059 Lidcombe Business Park (Buildings A to F) - 3-29 Birnie Avenue  LIDCOMBE, 2141, NSW",I&T,M SPRINKLER,,"Kerry Waite, Rory Mortel","Mar 2026 routine servicing (24 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (21), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3)",,,"",COMPLETE,Office Account,,27 February  2026,26 March     2026,,26.85,
T-32178,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",I&T,A DETECTION,,Haider Al-Heyoury,Feb 2026 routine servicing (45 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (45),,,"",COMPLETE,Jade Ogony,,20 February  2026,27 February  2026,,7.29,
T-38017,"Frutex - 20 St Albans Road, Kingsgrove, NSW 2208",Callout,R SPRINKLER,,,leak on sprinkler system in the warehouse,,,spiro,COMPLETE,Nick Hollingsworth,,1 April     2026,1 April     2026,9 April     2026,0.15,8.13
T-36205,Centennial Park - Grand Drive Sydney NSW 2021,Repair,R DETECTION,,,Superintendents & Residence Smoke Detection,,SQ-0702,W-03344-000003,COMPLETE,Jamie Wright,,25 March     2026,7 April     2026,14 April     2026,13.35,7.02
T-32179,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",I&T,A FPT PASSIVE,,"Alasdair Philip, Harley Wax","Feb 2026 routine servicing (74 items): Service Penetrations, Control Joints (AS 1851:2012 Section 12): Annual (0), Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (74)",,,"",COMPLETE,Jade Ogony,,20 February  2026,4 March     2026,,12.09,
T-32177,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",I&T,A EELS,,Haider Al-Heyoury,Feb 2026 routine servicing (197 items): Emergency Escape Lighting & Exit Signs (AS 2293-2019: Section 2): Annual (197),,,"",COMPLETE,Jade Ogony,,20 February  2026,26 February  2026,,6.28,
T-33185,"LOGOS - Unit 3A - 246 Miller Road, Villawood, NSW 2163",I&T,M SPRINKLER,,Rory Mortel,Mar 2026 routine servicing (2 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2),,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.73,
T-29757,"Impact International - Cnr Victoria and O’Connell Street, Smithfield,  NSW 2164",I&T,A DETECTION,,Haider Al-Heyoury,"Feb 2026 routine servicing (256 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Annual (234), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (22)",,,"",COMPLETE,Office Account,,29 January   2026,4 February  2026,,6.25,
T-38560,"Centuria - K&S Freighters - 1 Hope Street, Strathfield South, NSW 2136",I&T,M COMBINED,,,"Apr 2026 routine servicing (3 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (2), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1)",,,"",COMPLETE,Office Account,,7 April     2026,8 April     2026,,0.98,
T-37411,"Bevchain - 17-21 Percy Street, Auburn, NSW 2144",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.17,
T-38549,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",I&T,M COMBINED,,,"Apr 2026 routine servicing (4 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1)",,,"",COMPLETE,Office Account,,7 April     2026,9 April     2026,,2.22,
T-38150,"Ontex - 5 Wonderland Drive, Eastern Creek, NSW 2766",I&T,M COMBINED,,,"Apr 2026 routine servicing (3 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (2), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1)",,,"",COMPLETE,Office Account,,2 April     2026,7 April     2026,,4.99,
T-37747,"MCPHEE Distribution - 7 Kiora Crescent, Yennora, NSW 2161",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (7 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (2)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.09,
T-37609,"Goodman AU820 - City West Office Park - Building A (Channel 10) -1-31 Saunders Street PYRMONT, NSW, 2009,",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,6.94,
T-37608,"Goodman AU820 - City West Office Park - Building A (Channel 10) -1-31 Saunders Street PYRMONT, NSW, 2009,",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (6 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (4), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2)",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,6.94,
T-37386,"Goodman AU543 - 15-23 Quarry Road, Erskine Park, NSW 2759",I&T,M COMBINED,,,"Apr 2026 routine servicing (5 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,0.97,
T-37594,Goodman AU079 Greystanes Park East - Laminex (bldg 1) 2 Foundation Place PEMULWUY,I&T,M COMBINED,,,"Apr 2026 routine servicing (12 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (7), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.16,
T-37588,Bucher Municipal - 19 Astoria Road  Marsden Park - NSW 2765,I&T,M COMBINED,,,"Apr 2026 routine servicing (7 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.08,
T-37582,"144 Hartley Road, Smeaton Grange, NSW 2567",I&T,M COMBINED,,,"Apr 2026 routine servicing (7 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.16,
T-37577,"ASICS - 6 Darling Street, Marsden Park - NSW 2765",I&T,M COMBINED,,,"Apr 2026 routine servicing (11 items): Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (6), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,8.98,
T-37387,"Goodman AU543 - 33-38 Quarry Road (Bld B, Bld C & Bld D), Erskine Park, NSW 2759",I&T,M COMBINED,,,"Apr 2026 routine servicing (8 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (3), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,0.92,
T-37575,"Pacific Square - 717 Anzac Parade, Maroubra, NSW 2035",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (18 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (12), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (5), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,7.17,
T-37563,"(ROC) Rail Operations Centre - Mandible & Wyndham Street, Alexandria, NSW 2015",I&T,M GAS VESDA,,,Apr 2026 routine servicing (9 items): Special Hazard: Gaseous Suppression System (AS 1851-2012 Section 7): Monthly (9),,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,7.24,
T-37555,"Medline - 2 Fairview Place  Marsden Park, NSW 2765",I&T,M COMBINED,,,"Apr 2026 routine servicing (10 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (6), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.05,
T-37542,"Silverwater Industrial Park -  Corner Fariola St, Slough Ave & Rachael Cl Silverwater, NSW 2128",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (6 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,8.97,
T-37483,"Sebel - 48 Airds Road, Minto, NSW 2566",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.05,
T-37451,"609-615 Harris Street, Ultimo, NSW 2007",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.21,
T-37388,"Ontex - 5 Wonderland Drive, Eastern Creek, NSW 2766",I&T,M COMBINED,,,"Apr 2026 routine servicing (3 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,6.94,
T-37381,"Costas - 4 Beach Street, Eastern Creek, NSW 2766",I&T,M COMBINED,,,"Apr 2026 routine servicing (10 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (4)",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,7.13,
T-34387,"Space 207 - 207 Pacific Highway, St Leonards, NSW 2065",Repair,R DETECTION,,Gordon Jenkins,Critical defect repairs - OWS Failure,QD-2495,,approved as Capex - Alex Bailey,COMPLETE,Jamie Wright,,10 March     2026,20 March     2026,1 April     2026,10.06,11.95
T-17874,"Goodman AU820 - City West Office Park - Building A (Channel 10) -1-31 Saunders Street PYRMONT, NSW, 2009,",Callout,R SPRINKLER,,,Lance has emailed a work order for attendance to investigate rusted sprinkler pipework located on rooftop. 2025.,,,Work Order No: 315865  Purchase Order No: 550703,COMPLETE,Dean Shaw,,18 September 2025,,9 April     2026,,
T-37416,"Westlands Industrial Estate - 33-45 James Erskine Drive, Erskine Park, NSW 2759",I&T,M COMBINED,,,"Apr 2026 routine servicing (7 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.14,
T-39477,"426-428 Marion Street, Condell Park, NSW 2200",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188236_201010 - 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.12
T-36510,"COLES RRM - 54 Templar Road, Erskine Park, NSW 2759",Minor Works,Minor Works,,Michael Natoli,APFS Report Defects,,SQ-0552,026924,COMPLETE,Mariette Henderson,,26 March     2026,,,,
T-35814,"10-12 Fairford Road, Padstow, NSW 2211",Repair,R EEL,,,Emergency and Exit Lighting works,QD-2523,,approved 16/3/26 by Angela Markovski,COMPLETE,Patricia Mazzotta,,20 March     2026,1 April     2026,14 April     2026,11.86,13.28
T-38116,"COLES RRM - 54 Templar Road, Erskine Park, NSW 2759",Repair,Minor Works,,,Sprinkler Leak,,SQ-0736,27017,COMPLETE,Jade Ogony,,1 April     2026,,,,
T-39466,"GMK Logistics - 82 Rodeo Rd, Gregory Hills NSW 2557",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-33187,"LOGOS - Unit 3B - 246 Miller Road, Villawood, NSW 2163",I&T,M SPRINKLER,,Rory Mortel,Mar 2026 routine servicing (2 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2),,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.73,
T-39461,"State Library of NSW - 1 Shakespeare Place, Sydney, NSW 2000",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,4100150000,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-34391,"Goodman AU240 - Park View Business Park - 3 Talavera Road, Macquarie Park, NSW 2113",Repair,R DETECTION,,,Owners Agent defect battery repairs,QD-2101 - FIP,,Work Order No: 336679  Purchase Order No: 587893,COMPLETE,Jamie Wright,,10 March     2026,30 March     2026,8 April     2026,19.93,9.10
T-36518,"Sebel - 48 Airds Road, Minto, NSW 2566",I&T,M SPRINKLER,,,Mar 2026 routine servicing (4 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (4),,,"",COMPLETE,Office Account,,26 March     2026,31 March     2026,,4.94,
T-32634,"Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128",I&T,A FPT PASSIVE,,"Alasdair Philip, Harley Wax","Feb 2026 routine servicing (340 items): Fail-Safe Devices Standalone (AS 1851:2012 Section 12): Annual : Annual (0), Service Penetrations, Control Joints (AS 1851:2005 Section 17): Six-monthly (48), Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (292)",,,"",COMPLETE,Office Account,,25 February  2026,5 March     2026,,8.22,
T-39416,"Foothills Distribution Centre - 30 Lidco Street, Arndell Park, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,, 3948137 - April  ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-33189,"LOGOS - Unit 5A - 246 Miller Road, Villawood, NSW 2163",I&T,M SPRINKLER,,Rory Mortel,Mar 2026 routine servicing (2 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2),,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.73,
T-33907,"63 Britton Street, Smithfield, NSW 2164",I&T,A DETECTION,,"Haider Al-Heyoury, Hugo","Mar 2026 routine servicing (158 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (7), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Annual (151)",,,"",COMPLETE,Jade Ogony,,5 March     2026,12 March     2026,,7.11,
T-35822,"Goodman AU643 - 19 Berry Street, Granville, NSW 2142",Repair,R PORTABLE,,,Fire Safety Equipment,QD-2493,,WO337863/PO590187,COMPLETE,Patricia Mazzotta,,20 March     2026,9 April     2026,14 April     2026,20.10,5.04
T-39423,"Storhub - 201 Parramatta Road, Homebush, NSW 2140",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-39422,"20 Eastern Creek Drive, Eastern Creek, NSW 2766",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7179163_201010  - Nov 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-33288,"15-19 McPherson St, Banksmeadow, NSW 2019",Repair,R PORTABLE,,,Fire Safety Equipment,QD-2363,,app. emailed 26/2/26 from Sally Roth,COMPLETE,Patricia Mazzotta,,27 February  2026,9 April     2026,14 April     2026,40.95,5.03
T-39421,"2A / 2B Culverston Road, Minto, NSW, 2566",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7179164_201010,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-33140,"LOGOS - Unit 1A, 246 Miller Road, Villawood - NSW 2163",I&T,M SPRINKLER,,Rory Mortel,Mar 2026 routine servicing (3 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3),,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.82,
T-35669,"DLP - Warehouse 7, 44 Clunies Ross Street, Pemulwuy",I&T,A EELS,,,Mar 2026 routine servicing (0 items): Emergency Escape Lighting & Exit Signs (AS 2293-2019: Section 2): Annual (0),,,"",COMPLETE,Jade Ogony,,18 March     2026,9 April     2026,,21.85,
T-36516,"Ontex - 5 Wonderland Drive, Eastern Creek, NSW 2766",I&T,M COMBINED,,,"Mar 2026 routine servicing (3 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (2), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1)",,,"",COMPLETE,Office Account,,26 March     2026,27 March     2026,,0.88,
